<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2006.03.07	08:00:00	117.610	118.080	117.590	117.880	1994	0	30
2006.03.07	12:00:00	117.890	117.980	117.570	117.700	1946	0	30
2006.03.07	16:00:00	117.710	117.930	117.500	117.920	1770	0	30
2006.03.07	20:00:00	117.910	117.990	117.730	117.810	1350	0	30
2006.03.08	00:00:00	117.820	117.860	117.320	117.560	1684	0	30
2006.03.08	04:00:00	117.560	117.810	117.400	117.630	1708	0	30
2006.03.08	08:00:00	117.640	117.900	117.510	117.830	1826	0	30
2006.03.08	12:00:00	117.830	118.000	117.720	117.970	1860	0	30
2006.03.08	16:00:00	117.960	118.060	117.680	117.850	1675	0	30
2006.03.08	20:00:00	117.850	117.960	117.740	117.750	1248	0	30
2006.03.09	00:00:00	117.750	117.930	117.630	117.720	1656	0	30
2006.03.09	04:00:00	117.750	118.330	117.550	117.850	2071	0	30
2006.03.09	08:00:00	117.840	117.960	117.080	117.220	2040	0	30
2006.03.09	12:00:00	117.210	117.700	117.170	117.570	2072	0	30
2006.03.09	16:00:00	117.580	118.460	117.530	118.180	1809	0	30
2006.03.09	20:00:00	118.180	118.320	118.130	118.160	1289	0	30
2006.03.10	00:00:00	118.190	118.660	118.030	118.610	1830	0	30
2006.03.10	04:00:00	118.600	118.730	118.270	118.320	1659	0	30
2006.03.10	08:00:00	118.320	118.440	117.960	118.280	1725	0	30
2006.03.10	12:00:00	118.270	119.160	118.220	119.010	1944	0	30
2006.03.10	16:00:00	119.010	119.150	118.890	119.070	1584	0	30
2006.03.10	20:00:00	119.070	119.150	118.900	118.940	1098	0	30
2006.03.13	00:00:00	118.920	119.090	118.750	118.930	1691	0	30
2006.03.13	04:00:00	118.930	119.000	118.780	118.880	1600	0	30
2006.03.13	08:00:00	118.890	119.030	118.750	118.920	1727	0	30
2006.03.13	12:00:00	118.890	119.210	118.840	119.070	1882	0	30
2006.03.13	16:00:00	119.080	119.180	118.930	119.030	1654	0	30
2006.03.13	20:00:00	119.030	119.090	118.700	118.750	1436	0	30
2006.03.14	00:00:00	118.730	118.810	118.390	118.600	1776	0	30
2006.03.14	04:00:00	118.590	118.700	118.430	118.560	1633	0	30
2006.03.14	08:00:00	118.520	118.660	118.310	118.440	1823	0	30
2006.03.14	12:00:00	118.440	118.510	117.740	117.800	1965	0	30
2006.03.14	16:00:00	117.810	117.840	117.250	117.450	1869	0	30
2006.03.14	20:00:00	117.430	117.710	117.360	117.610	1422	0	30
2006.03.15	00:00:00	117.610	117.800	117.330	117.580	1587	0	30
2006.03.15	04:00:00	117.570	117.660	117.400	117.510	1523	0	30
2006.03.15	08:00:00	117.500	117.700	117.410	117.530	1593	0	30
2006.03.15	12:00:00	117.540	117.640	117.130	117.300	1757	0	30
2006.03.15	16:00:00	117.300	117.580	117.240	117.400	1645	0	30
2006.03.15	20:00:00	117.410	117.480	117.230	117.420	1260	0	30
2006.03.16	00:00:00	117.420	117.700	117.400	117.480	1459	0	30
2006.03.16	04:00:00	117.500	117.900	117.450	117.820	1472	0	30
2006.03.16	08:00:00	117.840	117.920	117.460	117.620	1668	0	30
2006.03.16	12:00:00	117.630	117.800	117.020	117.170	1936	0	30
2006.03.16	16:00:00	117.160	117.240	116.790	116.930	1980	0	30
2006.03.16	20:00:00	116.920	116.960	116.760	116.890	1470	0	30
2006.03.17	00:00:00	116.910	117.000	116.560	116.820	1637	0	30
2006.03.17	04:00:00	116.830	116.880	116.630	116.710	1549	0	30
2006.03.17	08:00:00	116.710	116.860	116.190	116.340	2060	0	30
2006.03.17	12:00:00	116.340	116.420	115.700	116.250	1970	0	30
2006.03.17	16:00:00	116.240	116.340	115.700	115.840	1882	0	30
2006.03.17	20:00:00	115.840	115.960	115.750	115.920	1046	0	30
2006.03.20	00:00:00	116.050	116.440	115.960	116.370	1578	0	30
2006.03.20	04:00:00	116.380	116.440	116.180	116.300	1506	0	30
2006.03.20	08:00:00	116.310	116.370	115.840	116.130	1975	0	30
2006.03.20	12:00:00	116.120	116.270	115.500	116.130	2001	0	30
2006.03.20	16:00:00	116.120	116.450	116.030	116.240	1726	0	30
2006.03.20	20:00:00	116.250	116.560	116.100	116.390	1366	0	30
2006.03.21	00:00:00	116.380	116.710	116.250	116.630	1622	0	30
2006.03.21	04:00:00	116.630	116.730	116.480	116.540	1426	0	30
2006.03.21	08:00:00	116.530	116.850	116.450	116.760	1644	0	30
2006.03.21	12:00:00	116.750	116.950	116.240	116.790	1888	0	30
2006.03.21	16:00:00	116.790	117.270	116.700	117.160	1853	0	30
2006.03.21	20:00:00	117.170	117.380	117.080	117.090	1488	0	30
2006.03.22	00:00:00	117.080	117.420	117.050	117.280	1674	0	30
2006.03.22	04:00:00	117.290	117.360	117.130	117.170	1682	0	30
2006.03.22	08:00:00	117.170	117.320	117.090	117.160	1724	0	30
2006.03.22	12:00:00	117.150	117.200	116.650	116.820	1827	0	30
2006.03.22	16:00:00	116.810	116.940	116.570	116.890	1611	0	30
2006.03.22	20:00:00	116.910	117.110	116.790	117.060	1505	0	30
2006.03.23	00:00:00	117.060	117.090	116.720	116.900	1631	0	30
2006.03.23	04:00:00	116.890	117.290	116.850	117.120	1658	0	30
2006.03.23	08:00:00	117.130	117.180	116.810	117.080	1760	0	30
2006.03.23	12:00:00	117.080	117.210	116.840	116.910	1736	0	30
2006.03.23	16:00:00	116.910	117.780	116.890	117.680	1795	0	30
2006.03.23	20:00:00	117.680	117.980	117.660	117.880	1353	0	30
2006.03.24	00:00:00	117.870	118.090	117.780	117.930	1617	0	30
2006.03.24	04:00:00	117.930	118.040	117.820	117.950	1459	0	30
2006.03.24	08:00:00	117.960	118.360	117.850	118.210	1897	0	30
2006.03.24	12:00:00	118.220	118.520	118.040	118.360	1838	0	30
2006.03.24	16:00:00	118.360	118.390	117.390	117.500	1859	0	30
2006.03.24	20:00:00	117.510	117.570	117.420	117.450	973	0	30
2006.03.27	00:00:00	117.570	117.680	116.820	116.920	1552	0	30
2006.03.27	04:00:00	116.920	116.960	116.400	116.640	1699	0	30
